city_id,city,extract_date,temperature,humidity,wind,description,sunrise,sunset,timezone,snow,rain,cloud
2542997,marrakesh,2025-06-21 07:18:13.265819,21.04,78,4.12,scattered clouds,1750483646,1750534811,3600,0,0,40
1850144,tokyo,2025-06-21 07:17:42.508459,31.01,50,1.79,overcast clouds,1750447538,1750500013,32400,0,0,100
6077243,montréal,2025-06-21 07:18:12.965793,15.18,70,2.41,clear sky,1750496737,1750553203,-14400,0,0,0
2988507,paris,2025-06-21 07:17:42.798778,18.31,75,1.54,clear sky,1750477619,1750535865,7200,0,0,0
3128760,barcelone,2025-06-21 07:17:42.588662,24.86,70,2.57,few clouds,1750479482,1750534094,7200,0,0,20
2542997,marrakesh,2025-06-20 12:48:43.603118,27.04,57,3.6,scattered clouds,1750397234,1750448399,3600,0,0,40
1850144,tokyo,2025-06-20 12:48:38.322787,27.59,66,6.17,broken clouds,1750361127,1750413599,32400,0,0,75
6077243,montréal,2025-06-20 12:48:48.796363,16.69,93,3.6,overcast clouds,1750410325,1750466790,-14400,0,0,100
2988507,paris,2025-06-20 12:48:39.150207,25.73,50,4.12,clear sky,1750391209,1750449452,7200,0,0,0
3128760,barcelone,2025-06-20 12:48:47.131785,30.31,48,2.68,clear sky,1750393071,1750447681,7200,0,0,0
2542997,marrakesh,2025-06-22 10:57:19.592531,21.04,73,1.54,clear sky,1750570058,1750621223,3600,0,0,0
1850144,tokyo,2025-06-22 11:00:09.209425,31.74,56,10.29,broken clouds,1750533951,1750586425,32400,0,0,75
6077243,montréal,2025-06-22 10:57:25.049527,21.07,89,7.72,overcast clouds,1750583151,1750639613,-14400,0,0,100
2988507,paris,2025-06-22 10:57:02.829649,23.93,63,5.14,clear sky,1750564033,1750622276,7200,0,0,0
3128760,barcelone,2025-06-22 10:57:05.511897,28.41,53,2.06,clear sky,1750565895,1750620505,7200,0,0,0
